names,smiles
ZINC000061876594,Cc1ccc(NC(=O)C(C#N)c2nc3ccccc3nc2N2CCN(Cc3ccccc3)CC2)cc1C
ZINC000002337350,CC(NC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(c2ccc(F)cc2)CC1)c1ccccc1
ZINC000002320463,Cc1ccc(NC(=O)C(C#N)c2nc3ccccc3nc2N2CCN(c3ccc(F)cc3)CC2)cc1C
ZINC000061899894,Cc1cc(C)cc(NC(=O)C(C#N)c2nc3ccccc3nc2N2CCN(Cc3ccccc3)CC2)c1
ZINC000002235803,N#CC(C(=O)NCCc1ccccc1)c1nc2ccccc2nc1N1CCN(c2ccccc2F)CC1
ZINC000002278902,N#CC(C(=O)NCCc1ccccc1)c1nc2ccccc2nc1N1CCN(c2ccc(F)cc2)CC1
ZINC000002301757,N#CC(C(=O)NCCc1ccccc1)c1nc2ccccc2nc1N1CCN(c2ccccc2)CC1
ZINC000057063742,CC(NC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1)c1ccccc1
ZINC000009361390,N#CC(C(=O)NCc1ccccc1)c1nc2ccccc2nc1N1CCN(CCc2ccccc2)CC1
ZINC000012615967,N#CC(C(=O)NCCc1ccccc1)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1
ZINC000002422295,N#CC(C(=O)OCc1ccccc1)c1nc2ccccc2nc1N1CCN(c2cccc(Cl)c2)CC1
ZINC000002303685,N#CC(C(=O)NCc1ccccc1)c1nc2ccccc2nc1N1CCN(c2ccc(F)cc2)CC1
ZINC000012537369,CN1CCN(c2ccc(Cl)cc2NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)CC1
ZINC000002269031,N#CC(C(=O)NC1CCCCC1)c1nc2ccccc2nc1N1CCN(c2cccc(Cl)c2)CC1
ZINC000057054006,N#CC(C(=O)NCc1ccccc1)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1
ZINC000205205095,CN1CCN(C(=O)c2ccc3cc(CCNc4ncnc5ccc(C#N)cc45)ccc3c2)CC1
ZINC000022925885,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2ccccn2)n1
ZINC000017243551,CC1=C(C(=O)Nc2cccnc2)C(c2ccccc2Cl)n2nc(-c3ccc(N(C)C)cc3)nc2N1
ZINC000002302941,CCCCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(c2cccc(Cl)c2)CC1
ZINC001565524300,CN1c2ccccc2C(=O)N2CCc3c(n(CCC(=O)Nc4cc(Cl)ccn4)c4ccccc34)C21
ZINC000009075107,Cc1ccc(Nc2nc(N3CCN(c4ccc(F)cc4)CC3)nc3nccnc23)cc1Cl
ZINC000009075077,Cc1cc(Cl)ccc1Nc1nc(N2CCN(c3ccc(F)cc3)CC2)nc2nccnc12
ZINC000008451361,Cc1c(C=NNc2nc(N3CCCC3)nc(N3CCCC3)n2)c2ccccc2n1Cc1ccc(F)cc1
ZINC000036616256,Cc1cc(C(=O)Nc2ccc(N3CCN(C)CC3)cc2)c2cnn(-c3ccccc3F)c2n1
ZINC000014273636,N#Cc1ccc(C(=O)Nc2ccc(N3CCN(Cc4ccccc4Cl)CC3)cc2)c(F)c1
ZINC000008844343,CCn1nc(-c2ccccc2)c(-c2ccccc2)c(C(=O)Nc2ccc(N3CCN(C)CC3)cc2)c1=O
ZINC000013150755,CCN1CCN(c2cc3nc(C)n(Cc4ccccc4)c(=O)c3cc2NC(=O)c2ccccc2F)CC1
ZINC000011666009,O=C(NCCn1ncc2c(N3CCN(c4ccc(F)cc4)CC3)ncnc21)c1ccc2ccccc2c1
ZINC000002393218,Cc1ccc(S(=O)(=O)C(C#N)c2nc3ccccc3nc2N2CCN(c3ccccc3)CC2)cc1C
ZINC000020648494,CN1CCc2c(C#N)c(SCC(=O)NC(c3ccccc3)c3ccccc3)nc(N3CCCC3)c2C1
ZINC001775971810,CN1c2ccccc2C(=O)N2CCc3c(n(CC(=O)NCc4cccc(Cl)c4)c4ccccc34)C21
ZINC000019632618,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
ZINC000009581109,CC1(C)Cc2c(C#N)c(Nc3ccccc3)n3c(SCC(=O)NCc4ccccc4)nnc3c2CO1
ZINC000009290965,Cc1ccc(C)c(NC(=O)C(C#N)=c2sc(=Cc3ccccc3Cl)c(=O)n2-c2ccccc2)c1
ZINC000002426117,Cc1ccc(C)c(S(=O)(=O)C(C#N)c2nc3ccccc3nc2N2CCN(c3ccccc3)CC2)c1
ZINC000008604111,Cc1nnc(N2CCN(C(=O)Nc3cc(F)ccc3F)CC2)c2nn(-c3ccc(Cl)cc3)c(C)c12
ZINC000009452755,CN(C(=O)CSc1nnc2c3c(c(C#N)c(Nc4ccccc4)n12)CC(C)(C)OC3)c1ccccc1
ZINC001772501457,CN1c2ccccc2C(=O)N2CCc3c(n(CC(=O)NCc4ccccc4Cl)c4ccccc34)C21
ZINC000012542125,N#CCCn1cc(C2Nc3ccccc3C(=O)N2Cc2ccc3c(c2)OCO3)c(-c2ccccc2)n1
ZINC000009225151,Cc1c(Cl)cccc1NC(=O)Cn1c(=O)c(CNc2ccccc2)cc2cc3c(cc21)OCCO3
ZINC000020813975,CN1CCc2nc(SCC(=O)Nc3nc4ccccc4s3)c(C#N)c(-c3ccccc3)c2C1
ZINC000008594026,Cc1ccc(Cl)cc1NC(=O)Cn1c(=O)c(CNc2ccccc2)cc2cc3c(cc21)OCCO3
ZINC000010237654,CCN1CCN(c2ccc(Cl)cc2NC(=O)c2cc3cnn(C(C)C)c3nc2C)CC1
ZINC000009345597,Cc1ccc(NC(=O)C(C#N)=c2sc(=Cc3ccccc3Cl)c(=O)n2-c2ccccc2)cc1C
ZINC000025184453,CC1=NN(c2ccccc2)C(=O)C12Cc1ccc(Cl)cc1N1CCN(c3ccccn3)CC12
ZINC000049640926,N#CC(c1nc2ccccc2nc1N1CCN(C=Cc2ccccc2)CC1)S(=O)(=O)c1ccccc1
ZINC000006148145,N#CC(C(=O)Nc1cc(Cl)cc(Cl)c1)=c1sc(=Cc2ccncc2)c(=O)n1-c1ccccc1
ZINC000009161234,N#CC(C(=O)Nc1ccc(Cl)cc1Cl)=c1sc(=Cc2ccncc2)c(=O)n1-c1ccccc1
ZINC000014291250,Cc1ccc(C(=O)N2CCN(c3c(Cl)cccc3NC(=O)c3ccc(C#N)cc3F)CC2)cc1
ZINC000009240676,Cc1cccc(N2CCN(c3nc4ccccc4nc3C(C#N)S(=O)(=O)c3ccccc3)CC2)c1C
ZINC000013364945,CCCc1c(C)nc2ncnn2c1Nc1ccc(N2CCN(C(=O)c3ccccc3F)CC2)cc1
ZINC000025184738,CC1=NN(c2ccc(Cl)cc2)C(=O)C12Cc1ccccc1N1CCN(c3ccccn3)CC12
ZINC000012421505,O=C(Nc1ccc(Cl)cc1)N1CCN(CC(O)Cn2c3ccccc3c3ccccc32)CC1
ZINC000044928596,Fc1ccc(N2CCN(c3ncnc4c3cnn4NCc3ccc(Cl)cc3Cl)CC2)cc1
ZINC000006148121,N#CC(C(=O)Nc1ccc(Cl)cc1Cl)=c1sc(=Cc2cccnc2)c(=O)n1-c1ccccc1
ZINC000000624284,Cc1ccccc1C(=O)N1CCN(c2ccc(NC(=O)c3ccc(C#N)cc3F)cc2Cl)CC1
ZINC000057424901,CN1CCc2c(n(CC(O)CN3c4ccccc4Sc4ccccc43)c3ccccc23)C1=O
ZINC000008871166,N#CC(c1nc2ccccc2nc1N1CCN(c2ccccc2)CC1)S(=O)(=O)c1ccc(F)cc1
ZINC000585266730,Cc1ccccc1CCc1nc(N2CCCC2c2ccc(Cl)cc2)ncc1C(=O)NCCN(C)C
ZINC000008593190,CCN(CC)CCNC(=O)c1ccc2c(=O)n3nc(Nc4cccc(Cl)c4C)sc3nc2c1
ZINC000009448455,CC1(C)Cc2c(C#N)c(Nc3ccccc3)n3c(SCC(=O)Nc4ccccc4)nnc3c2CO1
ZINC000003842059,Cn1cc(CN2CC3CC(C2)c2ccc(NC(=O)Nc4cccc(C#N)c4)c(=O)n2C3)c2ccccc21
ZINC000008871142,Cc1cccc(N2CCN(c3nc4ccccc4nc3C(C#N)C(=O)OCc3ccccc3)CC2)c1C
ZINC000101354365,CC1=NN(c2ccccc2)C(=O)C1=Cc1cn(CC(O)CNCc2ccc(F)cc2)c2ccccc12
ZINC000101346966,N=c1c(C(=O)Nc2ccccc2Cl)cc2c(=O)n3ccccc3nc2n1CCc1ccccc1
ZINC000049672415,N#CC(C(=O)OCc1ccccc1)c1nc2ccccc2nc1N1CCN(C=Cc2ccccc2)CC1
ZINC000009328747,N#CC(C(=O)NC1CCCCC1)c1nc2ccccc2nc1N1CCN(CC=Cc2ccccc2)CC1
